Nom,TEAM,POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage RateUsage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Josh Green,Dal,G,"21,25",42,14,"29,2",14,"10,9",35,"0,714",114,"0,57",34,"0,294","0,541","0,566","4,4","2,1","8,3","1,3","13,2","0,69","0,19","0,48","6,5","118,3","97,2"
Blake Griffin,Bro,F,"32,92",46,"18,5","38,5",17,"7,2",68,"0,735",155,"0,568",126,"0,23","0,468","0,503","6,8","4,5",13,"2,1","15,4","0,54","0,26","0,52","8,7","114,6","104,1"
Quentin Grimes,Nyk,G,"21,77",38,"17,5","36,4","15,6","10,2",17,"0,647",42,"0,5",162,"0,395","0,574","0,579","6,4",2,6,"0,9","8,4","0,68","0,24","0,63","5,2","113,2","105,3"
Kyle Guy,Mia,G,"24,52",15,"11,7","24,3","19,3","15,7",10,"0,7",25,"0,48",35,"0,4","0,55","0,567","4,9","0,9","4,2","1,1","14,6","0,47","0,07","0,8","5,8","104,5","105,6"
Rui Hachimura,Was,F,"24,02",17,"17,8","37,1","20,6","8,5",26,"0,769",80,"0,45",37,"0,432","0,513","0,545","8,2","3,4","10,4",1,"8,6","0,53","0,29","0,71","6,8",106,"109,2"
Tyrese Haliburton,Sac,G,"21,96",51,"34,4","71,8","18,2","15,4",104,"0,837",334,"0,491",252,"0,413","0,546","0,575","14,3","3,9","6,1","7,4","31,4","1,69","0,67","2,25","8,7","117,1","114,1"
Tyrese Haliburton,Ind,G,"21,96",2,"40,2","83,6","21,1","22,9",3,1,11,"0,545",18,"0,556","0,724","0,742","22,5",4,"5,5",11,43,2,0,"4,5","9,9","129,7",111
Tyler Hall,Nyk,G,"24,9",1,"1,9",4,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
R.J. Hampton,Orl,G,"21,02",42,"19,4","40,4","19,7","15,1",79,"0,608",173,"0,393",107,"0,364","0,452","0,478","7,2","2,9",8,"2,4","19,1","0,69","0,19","1,33","7,6",94,"108,1"
Tim Hardaway Jr.,Dal,G-F,"29,92",42,"29,6","61,8","21,9","5,6",103,"0,757",226,"0,473",304,"0,336","0,491","0,52","14,2","3,7","6,9","2,2","11,5","0,9","0,14","0,81","6,6","106,3","104,6"
James Harden,Bro,G,"32,47",44,37,"77,1","28,5","19,8",350,"0,869",399,"0,476",307,"0,332","0,486","0,576","22,5",8,"11,6","10,2","40,3","1,27","0,7","4,82","13,2","111,4","106,9"
Maurice Harkless,Sac,F-G,"28,77",40,"19,6","40,9","11,4","13,8",28,"0,714",74,"0,635",95,"0,316","0,544","0,563","5,1","2,6",7,"0,6","3,8","0,6","0,58","0,73","4,1","102,2","109,6"
Jared Harper,Nor,G,"24,42",2,"5,3","10,9",33,"12,5",0,0,5,"0,4",2,"0,5","0,5","0,5","3,5","0,5","5,2","1,5","55,1",0,"0,5","0,5","10,4","109,3",100
Montrezl Harrell,Was,F-C,"28,06",46,"24,3","50,6","20,8","9,6",205,"0,727",368,"0,66",15,"0,267","0,65","0,684","14,1","6,7","15,1","2,1","14,3","0,39","0,67","1,09","9,6","135,3","106,5"
Montrezl Harrell,Cha,F-C,"28,06",2,"25,7","53,5","21,5","11,5",14,"0,5",17,"0,824",0,0,"0,824","0,756","17,5","7,5","15,3","1,5","9,7","0,5","0,5","1,5","9,1","135,8","105,7"
Gary Harris,Orl,G,"27,42",51,"29,6","61,6","16,3","9,3",79,"0,848",230,"0,509",250,"0,38","0,541","0,569","11,5","2,2","3,9",2,"10,2","0,92","0,16","1,04",5,"110,5","112,1"
Joe Harris,Bro,G-F,"30,44",14,"30,2","62,9","14,6","11,2",6,"0,833",36,"0,417",88,"0,466","0,617","0,624","11,3",4,"7,1",1,"4,5","0,5","0,14","1,14","4,7","111,5","109,2"
Shaquille Harrison,Bro,G,"28,36",2,"11,3","23,5","15,3",25,0,0,4,"0,5",2,0,"0,333","0,333",2,2,"9,5","1,5","17,2","0,5","0,5",1,"6,4","75,2","100,5"
Tobias Harris,Phi,F,"29,59",47,"35,4","73,7","23,5","9,9",165,"0,848",549,"0,526",161,"0,354","0,527","0,568","18,9","7,4","11,5","3,7","17,1","0,62","0,68","1,83","9,1","112,6","106,3"
Isaiah Hartenstein,Lac,C-F,"23,78",45,16,"33,2","18,5","16,2",72,"0,681",215,"0,628",7,"0,571","0,635","0,652","7,4","4,3","14,3","1,8","18,4","0,69","1,04","1,09","9,6","124,5","94,1"
Josh Hart,Nor,G,"26,95",41,"33,5","69,8","16,9","15,1",154,"0,753",256,"0,598",130,"0,323","0,56","0,604","13,4","7,8","12,8","4,1","18,5","1,1","0,27","1,98",9,"117,3","104,6"
Josh Hart,Por,G,"26,95",2,"36,3","75,5","23,7","17,8",10,"0,8",13,"0,692",15,"0,533","0,75","0,772",25,4,6,"3,5","16,7","0,5",1,"3,5","7,8","126,3","110,9"
Udonis Haslem,Mia,F,"41,69",9,"6,3","13,1","20,5","11,4",3,1,20,"0,5",2,"0,5","0,523","0,557","2,9",2,"17,8","0,3","8,5","0,11","0,11","0,33","7,6",110,"86,7"
Sam Hauser,Bos,F,"24,19",10,"4,1","8,6","14,9",0,0,0,0,0,14,"0,286","0,429","0,429","1,2","0,6","7,8","0,1","3,4","0,1","0,1",0,"4,1","97,4",100
Jaxson Hayes,Nor,C-F,"21,73",45,"16,6","34,5","17,7","10,8",110,"0,773",197,"0,685",27,"0,259","0,65","0,69","8,4","3,9","12,9","0,5","4,6","0,38","0,73","0,73","6,1","130,9","100,6"
Killian Hayes,Det,G,"20,56",45,"24,6","51,2",15,"19,8",49,"0,816",177,"0,418",113,"0,274","0,416","0,451","6,2","2,9","6,4","4,1","24,7","1,02","0,51","1,71","6,8","94,1","106,4"
Gordon Hayward,Cha,F,"31,9",48,"32,2","67,1","20,6","10,6",149,"0,846",393,"0,499",218,"0,39","0,529","0,571","16,1","4,6","7,5","3,6","16,2","0,96","0,46","1,67",8,"113,2","112,1"
Aaron Henry,Phi,F,"22,46",6,"2,8","5,9","18,6","28,6",0,0,4,"0,25",1,0,"0,2","0,2","0,3","0,2","3,3",0,0,0,"0,33","0,33",0,,
Juancho Hernangomez,Bos,F,"26,38",18,"5,3","11,1","16,9","16,2",9,"0,667",9,"0,222",18,"0,167","0,241","0,307","1,1","1,4","13,9","0,2","4,1","0,22","0,11","0,33","5,1","74,3","100,2"
Juancho Hernangomez,San,F,"26,38",5,"10,1","21,1","8,2","20,5",4,"0,75",3,"0,667",3,0,"0,333","0,451","1,4",3,"15,5","0,6","6,9","0,2","0,2","0,4","5,4","105,6","114,1"
Juancho Hernangomez,Uta,F,"26,38",2,"2,6","5,3",17,50,0,0,0,0,1,1,"1,5","1,5","1,5",0,0,0,0,0,0,"0,5",0,,
Willy Hernangomez,Nor,C-F,"27,72",29,"16,8",35,"22,7",11,81,"0,741",185,"0,524",7,"0,429","0,529","0,578","9,1","7,2","23,5","1,3","13,4","0,34","0,34","0,97","10,5","121,9","100,5"
Tyler Herro,Mia,G,"22,07",46,"32,7","68,1",29,13,141,"0,879",486,"0,461",310,"0,374","0,5","0,536",20,"4,8","8,3","3,9","20,5","0,63","0,17","2,78","8,8","103,3","107,6"
Buddy Hield,Sac,G,"29,16",55,"28,6","59,6","22,3","10,9",92,"0,87",198,"0,419",495,"0,368","0,514","0,54","14,4",4,"7,5","1,9","9,9","0,87","0,27","1,64","6,7","103,6","111,2"
Buddy Hield,Ind,G,"29,16",2,"39,9",83,"21,3","7,6",1,0,13,"0,538",23,"0,217","0,403","0,398","14,5","8,5","11,8","4,5","16,5","0,5","0,5","1,5","8,2","91,2","108,1"
Haywood Highsmith,Mia,F,"25,18",4,"10,4","21,7","8,5",0,0,0,1,0,7,"0,571","0,75","0,75",3,"1,3","6,8",0,0,0,"0,25",0,0,153,"107,5"
George Hill,Mil,G,"35,79",41,"25,5",53,12,12,50,"0,96",117,"0,556",117,"0,316","0,515","0,564",7,"3,2","6,7","2,5","12,9","0,8","0,15","0,85",6,"119,2","108,9"
Malcolm Hill,Atl,F,"26,31",3,"15,3","31,9","9,3",0,4,1,3,"0,667",5,"0,6","0,813","0,871","5,7",2,"7,1","0,3","2,9","1,33","0,33",0,"3,9","183,2","98,5"
Malcolm Hill,Chi,F,"26,31",13,"11,5","24,1","13,6","4,3",10,"0,7",12,"0,667",28,"0,357","0,575","0,597","4,1",2,"9,6","0,2","2,7","0,15","0,15","0,15","4,1","125,7","106,8"
Solomon Hill,Atl,F,"30,92",13,"10,7","22,3","6,6","4,8",0,0,7,"0,143",13,"0,154","0,2","0,2","0,6","1,8",9,"0,9","10,4","0,31","0,15","0,08","3,7","87,1","105,5"
Nate Hinton,Ind,G-F,"22,69",2,"1,2","2,5","35,9",50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,,
Jaylen Hoard,Okc,F,"22,88",1,"1,8","3,8","24,1",0,0,0,1,0,0,0,0,0,0,2,"56,5",0,0,0,0,0,0,,
Aaron Holiday,Was,G,"25,38",41,"16,2","33,7",18,"14,5",35,"0,8",147,"0,524",67,"0,343","0,521","0,547","6,1","1,6","5,5","1,9","17,5","0,59","0,22","0,95","6,5","104,7","107,1"
Aaron Holiday,Pho,G,"25,38",1,9,"18,8","28,7","16,7",0,0,2,1,3,"0,667",1,1,10,1,"5,9",0,0,0,0,1,0,"111,8","88,7"
Jrue Holiday,Mil,G,"31,68",45,"32,8","68,4","23,6","15,4",106,"0,774",435,"0,554",205,"0,405","0,571","0,592","18,1","4,6","7,4","6,6","32,1","1,47","0,53","2,78",10,"115,9","107,1"
Justin Holiday,Ind,F-G,"32,87",49,"28,9","60,2",16,"9,3",41,"0,829",122,"0,516",336,"0,378","0,553","0,568",11,"2,8","5,3","1,8","9,1","0,73","0,37",1,"5,3","111,2","111,4"
Justin Holiday,Sac,F-G,"32,87",3,"30,5","63,5","17,2","13,6",2,1,13,"0,308",18,"0,278","0,371","0,392","8,3",2,"3,5","2,7","11,8",1,"0,67","1,67","4,7","85,9","115,4"
Richaun Holmes,Sac,F,"28,34",40,"25,1","52,2",16,"14,7",87,"0,77",276,"0,681",5,"0,4","0,68","0,703","11,2","7,5",16,"1,2","7,1","0,43",1,"1,38","7,4","128,9","103,9"
Rodney Hood,Mil,G-F,"29,32",39,"14,9","31,1","10,6","4,9",14,"0,929",51,"0,431",80,"0,3","0,443","0,47","3,3","1,7","6,1","0,8","6,7","0,31","0,1","0,18","4,4","106,7","110,5"
Scotty Hopson,Okc,G-F,"32,53",1,"17,7","36,9","14,7","33,3",0,0,3,"0,667",1,0,"0,5","0,5",4,1,"2,9",1,"8,6",0,0,2,"3,6","69,4","111,8"
Al Horford,Bos,C-F,"35,7",49,"28,3",59,"15,8","9,6",77,"0,844",224,"0,558",194,"0,299","0,507","0,541",10,"7,5","14,1","3,3","17,4","0,57","1,33","0,98","8,9","118,7",101
Talen Horton-Tucker,Lal,G,"21,22",41,"25,8","53,7","18,5","13,4",78,"0,808",236,"0,483",124,"0,282","0,463","0,502","9,7","3,3","6,8","2,7","14,6","0,93","0,49","1,49","6,9",100,"105,2"
Danuel House Jr.,Hou,F-G,"28,69",16,"14,5","30,3","18,3","17,9",19,"0,895",40,"0,375",34,"0,294","0,405","0,467","4,8","2,7","10,2","1,2","11,8","0,31","0,31","1,13","6,9","89,2","112,5"
Danuel House Jr.,Nyk,F-G,"28,69",1,"3,4","7,1","12,9",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Danuel House Jr.,Uta,F-G,"28,69",8,"18,9","39,5","15,5","9,2",14,"0,714",16,"0,625",27,"0,444","0,651","0,671","8,3","2,5","7,2","1,5","11,3","0,63","0,38","0,63","6,7","133,7","106,4"
Dwight Howard,Lal,C-F,"36,19",41,"14,5","30,2","14,1",17,85,"0,612",115,"0,617",9,"0,667","0,645","0,657","5,2","5,4","19,9","0,5","5,1","0,68","0,61","0,8","6,7","127,3","96,2"
Markus Howard,Den,G,"22,96",22,"6,1","12,7",28,7,14,"0,929",20,"0,2",53,"0,434","0,527","0,568","4,1","0,3","2,5","0,3","6,9","0,32",0,"0,27","4,7","106,6","106,3"
Kevin Huerter,Atl,G-F,"23,47",49,"29,1","60,5","17,4","11,7",35,"0,8",235,"0,553",249,"0,369","0,554","0,565","11,5","3,2",6,"2,8","13,9","0,61","0,35","1,35","6,4","109,5","110,8"
Jay Huff,Lal,C,"24,48",4,"5,1","10,6","8,5",25,0,0,1,0,2,0,0,0,0,1,"10,5","0,3","5,8","0,25","0,25","0,25",0,34,"108,3"
Elijah Hughes,Uta,G,"23,94",14,8,"16,7","17,2","15,8",3,1,8,"0,625",28,"0,357","0,556","0,576","3,1","1,2","8,3","0,4","7,5","0,29","0,07","0,5","5,7","104,4","105,7"
Elijah Hughes,Por,G,"23,94",2,"13,2","27,5","23,1","7,1",0,0,5,"0,4",8,"0,125","0,269","0,269","3,5",2,"8,3",0,0,0,"0,5","0,5",0,"58,3","107,8"
De'Andre Hunter,Atl,F-G,"24,21",28,29,"60,3","20,2","10,7",77,"0,701",199,"0,472",102,"0,382","0,507","0,536","12,8","3,5","6,5","1,3","6,3","0,64","0,36","1,43","5,3","101,5","107,8"
Chandler Hutchison,Pho,F-G,"25,81",6,"3,7","7,8","13,2","58,1",2,1,2,"0,5",0,0,"0,5","0,694","0,7","0,8","11,8","0,3","10,5",0,0,"0,67",6,,
Bones Hyland,Den,G,"21,42",45,"18,1","37,6","23,9","12,7",59,"0,881",135,"0,415",223,"0,35","0,483","0,518","8,8","2,8","8,5",2,"15,8","0,49","0,29","1,24","8,1","99,3","101,2"
Serge Ibaka,Lac,F,"32,41",35,"15,4","32,1","19,4","13,9",29,"0,69",130,"0,538",62,"0,387","0,552","0,567","6,6","4,3","14,6",1,"10,3","0,2","0,74","0,94","7,9","108,5","100,4"
Andre Iguodala,Gol,G-F,"38,05",26,"19,9","41,5","11,1","17,4",16,"0,813",41,"0,634",61,"0,23","0,461","0,491","4,1","3,3",9,"3,8","25,2","0,85","0,81","0,88","7,5","116,9","104,1"
Joe Ingles,Uta,F-G,"34,37",45,"24,9","51,9","13,2","13,5",22,"0,773",60,"0,617",225,"0,347","0,54","0,551","7,2","2,9","6,4","3,5","18,9","0,51","0,11","1,02","6,7","116,4","106,2"
Brandon Ingram,Nor,F,"24,46",43,"34,3","71,5","29,2","11,5",237,"0,819",587,"0,489",191,"0,34","0,494","0,546","22,4","5,7","9,2","5,3","27,4","0,65","0,51","2,67","10,2",109,"109,5"
Kyrie Irving,Bro,G,"29,9",14,"36,2","75,4","28,9",10,53,"0,925",186,"0,495",95,"0,368","0,514","0,555","24,1","4,7",7,"5,4","24,3","1,07","0,64","2,43","9,4","110,1","109,2"
Wes Iwundu,Atl,F,"27,16",3,"27,4","57,1",11,"4,8",4,"0,75",13,"0,385",5,"0,6","0,528","0,557","7,3","4,3","8,6",0,0,"0,33",0,"0,33",0,"114,8","108,5"
Jaren Jackson Jr.,Mem,F-C,"22,42",57,"27,9","58,1","25,6","9,8",254,"0,803",468,"0,483",311,"0,322","0,483","0,537","16,8",6,"11,3","1,1","5,6",1,"2,21","1,7","6,9","107,7","99,2"
Frank Jackson,Det,G,"23,79",43,"22,5","46,9","20,7",7,78,"0,795",164,"0,543",238,"0,319","0,505","0,536","10,9","1,6","3,8",1,7,"0,51","0,21","0,77","4,6",105,"112,2"
Isaiah Jackson,Ind,F,"20,1",20,"9,6","20,1","24,2","10,1",33,"0,667",76,"0,553",7,"0,429","0,56","0,59","5,8","2,8","15,8","0,4",6,"0,55","0,75","0,55","7,8","117,3","93,7"
Josh Jackson,Det,G-F,"25,01",39,"18,1","37,8",19,"12,1",56,"0,714",138,"0,529",113,"0,265","0,47","0,501","7,1","3,2","9,3","1,3","11,1","0,54","0,46","0,97","6,8","97,2","106,4"
Justin Jackson,Bos,F,"26,89",1,2,"4,2","41,2",0,2,1,1,0,0,0,0,"0,532",2,0,0,0,0,0,0,0,0,,
Justin Jackson,Pho,F,"26,89",6,"5,8",12,"18,7","6,7",0,0,5,"0,4",9,"0,333","0,464","0,464","2,2","1,2","10,8","0,3","7,7",0,0,"0,17","6,4","96,7","101,7"
Reggie Jackson,Lac,G,"31,84",55,"30,8","64,3","26,9","11,4",115,"0,835",484,"0,452",386,"0,332","0,472","0,499","16,7","3,5","5,9","4,3","22,7","0,75","0,15","2,16","8,2","99,1","107,9"
LeBron James,Lal,F,"37,13",40,"36,7","76,5","31,4","11,9",228,"0,746",530,"0,619",315,"0,352","0,585","0,613",29,"7,9","11,4","6,5","32,2","1,58",1,"3,2","12,4","117,1","106,2"
DeJon Jarreau,Ind,G,"24,06",1,"0,9","1,9",0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
DaQuan Jeffries,Mem,G-F,"24,46",3,"2,9","6,1","9,4",0,0,0,1,1,1,0,"0,5","0,5","0,7","0,7","11,9","0,3","14,6",0,0,0,"7,3",,
Ty Jerome,Okc,G-F,"24,61",48,"16,7","34,8","20,9","9,6",47,"0,809",142,"0,493",186,"0,29","0,46","0,488","7,1","1,6",5,"2,3",22,"0,63","0,1","0,77","7,1","103,1","105,1"
Isaiah Joe,Phi,G,"22,63",40,"12,3","25,7","14,6","8,1",21,"0,952",32,"0,438",106,"0,33","0,482","0,52","3,8","1,1",5,"0,7","7,9","0,25","0,05","0,33","4,7","104,6",107
Alize Johnson,Chi,F,"25,82",16,"7,5","15,7","12,4","23,5",7,"0,571",21,"0,571",2,0,"0,522","0,537","1,8","2,3","16,6","0,5","8,6","0,19",0,"0,5","6,8","112,7","101,3"
Alize Johnson,Was,F,"25,82",3,"6,1","12,6",23,"31,8",1,0,4,"0,5",2,0,"0,333","0,311","1,3",4,"35,9",0,0,0,0,1,0,"73,2","110,6"
BJ Johnson,Orl,F,"26,15",4,"16,2","33,6","16,8",0,0,0,15,"0,467",10,"0,4","0,52","0,52","6,5","3,8","12,4",0,0,0,"0,25",0,0,"113,2","111,7"
Cameron Johnson,Pho,F,"25,95",53,26,"54,2","16,8","6,1",74,"0,851",169,"0,515",304,"0,431","0,599","0,623","11,9","4,2","8,6","1,3","6,6","0,87","0,23","0,62","6,2","122,5",103
David Johnson,Tor,G,"20,97",2,1,"2,1","21,4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
James Johnson,Bro,F,"34,99",42,19,"39,6","14,1","11,5",36,"0,444",163,"0,558",52,"0,269","0,521","0,52","5,7","3,5","9,8","1,9","13,8","0,5","0,36","0,71","7,1","110,2","102,4"
Jalen Johnson,Atl,F,"20,16",13,"4,5","9,4","18,5","12,2",6,"0,667",12,"0,5",7,"0,429","0,553","0,578","1,9","1,2",14,"0,1","2,4",0,0,"0,23","5,4","101,2","110,7"
Joe Johnson,Bos,G-F,"40,64",1,2,"4,2","21,9",0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
Keldon Johnson,San,F-G,"22,35",54,"31,2",65,"20,3","8,3",148,"0,736",430,"0,488",243,"0,428","0,544","0,57","15,6","5,9",10,"1,8","8,2","0,74","0,13","1,24",7,"111,3","109,1"
Keon Johnson,Lac,G,"19,94",15,9,"18,7","21,9","10,4",21,"0,762",40,"0,35",11,"0,273","0,363","0,44","3,5","1,4","8,2","0,9","13,9","0,47","0,13","0,47","7,3","95,2","95,6"
Stanley Johnson,Lal,F-G,"25,72",23,"22,1","46,1","12,1","9,1",31,"0,677",67,"0,612",50,"0,32","0,556","0,578","6,6","3,2","7,7","1,3","7,7","0,78","0,43","0,57","5,5","116,9","101,2"
Tyler Johnson,Phi,G,"29,78",3,"12,7","26,5",13,"9,1",0,0,3,"0,333",7,"0,429","0,55","0,55","3,7",2,"8,7","0,7","7,3","0,33","0,33","0,33","5,4",109,102
Tyler Johnson,San,G,"29,78",3,"17,7","36,9","8,8","9,1",0,0,4,0,6,"0,333","0,3","0,3",2,2,"5,9","1,7","10,9","0,67","0,67","0,33","4,3","88,3","111,1"
Nikola Jokic,Den,C,"26,99",51,33,"68,8","31,4","15,9",283,"0,813",661,"0,638",221,"0,367","0,616","0,654","25,8","13,7","23,1","7,9","43,4","1,35","0,75","3,75","17,1",125,"99,9"
Derrick Jones Jr.,Chi,F,25,33,"17,5","36,5","13,2","10,4",49,"0,816",95,"0,621",39,"0,385","0,608","0,652","6,2","3,4","10,8","0,5","4,2","0,48","0,7","0,55",5,"130,5",101
Carlik Jones,Dal,G,"24,15",3,"6,4","13,3","25,4","27,6",2,1,6,0,1,0,0,"0,127","0,7",1,"8,6","1,7","32,2","0,33",0,1,"6,6","51,2","110,2"
Carlik Jones,Den,G,"24,15",2,2,"4,2","22,1",0,0,0,2,"0,5",0,0,"0,5","0,5",1,0,0,0,0,0,0,0,0,,
Damian Jones,Sac,C,"26,63",37,"15,3","31,8","15,7","17,9",66,"0,727",127,"0,669",14,"0,357","0,656","0,685","6,3","3,9","13,9","1,1","10,9","0,3","0,62",1,"7,8","126,1","103,4"
Herbert Jones,Nor,F,"23,36",54,"29,9","62,3","13,5","12,9",105,"0,848",288,"0,549",104,"0,365","0,548","0,592","9,6","3,9","7,1","2,1","10,4","1,48","0,89","1,2","5,7","116,9","104,5"
Jemerrio Jones,Lal,F,"26,86",2,"7,4","15,3","8,8",0,0,0,3,"0,667",0,0,"0,667","0,667",2,"1,5","10,8",0,0,"0,5",0,0,0,"155,8","100,2"
Kai Jones,Cha,C-F,"21,07",17,"2,8","5,8","15,7","28,2",4,"0,25",9,"0,667",2,"0,5","0,682","0,627","0,9","0,5","8,8","0,2","11,6",0,0,"0,29","6,4",,
Mason Jones,Lal,G,"23,57",2,"4,4","9,2","48,3","10,1",2,"0,5",6,"0,333",2,0,"0,25","0,282","2,5",1,"12,1",0,0,"0,5",0,"0,5",0,"60,1","98,6"
Tre Jones,San,G,"22,1",46,"13,5",28,"15,3","10,7",41,"0,878",162,"0,543",20,"0,15","0,508","0,552","4,8","1,8","7,2","2,4",24,"0,43",0,"0,52","8,1","120,1","109,5"
Tyus Jones,Mem,G,"25,77",51,"20,5","42,8","15,9","8,7",40,"0,875",224,"0,509",126,"0,357","0,519","0,541","7,8","2,5","6,5","4,1","27,3","0,9","0,04","0,69","8,4","122,6","111,4"
DeAndre Jordan,Lal,C,"33,57",31,"12,9","26,8","12,8","16,8",25,"0,48",88,"0,67",0,0,"0,67","0,657","4,2","5,5","22,5","0,4","4,6","0,32","0,81","0,65","6,5","125,2","96,8"
Cory Joseph,Det,G,"30,49",46,"24,3","50,6","14,9","16,7",80,"0,85",180,"0,461",108,"0,435","0,533","0,58","8,2","2,5","5,6","3,9","24,6","0,67","0,26","1,41","7,1",114,"109,7"
Georgios Kalaitzakis,Mil,F,"23,12",9,"5,3","11,1",17,"21,1",9,"0,444",7,"0,429",4,"0,5","0,545","0,535","1,8","0,9","8,8",0,0,"0,11","0,11","0,44",0,"93,5","97,4"
Frank Kaminsky,Pho,F-C,"28,87",9,"20,1","41,9",19,"6,3",20,"0,9",51,"0,608",15,"0,333","0,583","0,635","10,6","4,6",12,"1,4","10,3","0,89","0,78","0,56","8,1",131,"100,2"
Luke Kennard,Lac,G,"25,64",48,"27,9","58,2","16,4","7,8",51,"0,882",145,"0,455",293,"0,43","0,582","0,603","11,6","3,5","6,7","2,2","11,7","0,63","0,1","0,81","6,4","117,1","107,9"
Braxton Key,Phi,F,25,2,"3,2","6,7","28,2",50,0,0,1,1,1,0,"0,5","0,5",1,1,"17,3","0,5","23,6","0,5",0,1,"9,9",,
George King,Dal,F-G,"28,09",4,"4,8",10,16,"14,5",2,"0,5",1,0,4,0,0,"0,085","0,3","1,3","14,3",0,0,0,0,"0,25",0,"16,6","85,9"
Louis King,Sac,F,"22,86",10,"10,4","21,6","21,2",0,10,"0,7",20,"0,35",27,"0,296","0,404","0,438","4,5","1,2","6,2","0,9","12,5","0,2","0,1",0,"6,5","100,4","104,9"
Corey Kispert,Was,F,"22,96",51,"19,4","40,4","14,9","7,3",43,"0,884",120,"0,575",168,"0,315","0,516","0,546","6,6","2,5","7,2","0,9","6,9","0,33","0,24","0,47","5,1","111,6",113
Maxi Kleber,Dal,F,"30,05",40,25,"52,1","12,7","10,2",36,"0,778",62,"0,581",178,"0,365","0,556","0,577","7,4",6,"13,2","1,2","6,5","0,48","0,95","0,73",6,"116,1","99,7"
Brandon Knight,Dal,G,"30,21",3,"18,2","37,8","22,6","14,5",8,1,7,"0,714",13,"0,308","0,55","0,638",10,"2,3",7,"2,7","22,8","0,33",0,"1,33","8,7","120,1","101,4"
Nathan Knight,Min,F-C,"24,41",28,"6,9","14,4","18,9","13,7",45,"0,711",48,"0,521",8,"0,25","0,5","0,58","3,1","2,1","16,1","0,5","10,1","0,14","0,25","0,43","8,6","119,5","98,5"
Kevin Knox II,Nyk,F,"22,52",13,"8,5","17,8","19,6","10,1",10,"0,7",12,"0,417",28,"0,357","0,5","0,529","3,6","1,7","10,6","0,2","4,2","0,15","0,08","0,38",5,107,"110,2"
Kevin Knox II,Atl,F,"22,52",7,"6,6","13,7","17,1","11,1",0,0,6,"0,833",10,"0,1","0,406","0,406","1,9","1,1","9,5","0,6",12,"0,14",0,"0,29","6,5","83,7",110
John Konchar,Mem,G,"25,9",50,"18,5","38,5","9,7","9,7",33,"0,606",92,"0,576",90,"0,422","0,604","0,611","4,8","4,4","12,5","1,4","9,7","0,72","0,3","0,42","6,7","130,9","104,6"
Furkan Korkmaz,Phi,G-F,"24,57",49,24,50,"17,9","8,1",72,"0,833",179,"0,52",218,"0,289","0,472","0,507","8,9","2,9","6,7","2,3","14,3","0,61","0,14","0,78","6,5","105,4","109,8"
Luke Kornet,Cle,F-C,"26,59",2,"7,5","15,5","18,7",0,3,"0,667",4,"0,25",1,0,"0,2","0,316",2,"1,5","10,9","0,5","8,9",0,"0,5",0,"6,1","96,6","106,1"
Luke Kornet,Mil,F-C,"26,59",1,3,"6,3","14,3",0,0,0,1,0,0,0,0,0,0,1,"17,5",0,0,0,0,0,0,,
Vit Krejci,Okc,G,"21,66",5,"4,6","9,6","14,9","25,4",2,1,2,1,3,0,"0,4","0,51","1,2","0,8","8,8","0,4","12,7",0,0,"0,4","6,3","87,4","109,6"
Arnoldas Kulboka,Cha,F,"24,12",1,"2,7","5,6",0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Jonathan Kuminga,Gol,F,"19,36",46,"14,3","29,9","23,4","12,2",110,"0,655",177,"0,599",85,"0,306","0,553","0,583","7,9","2,8","10,6","0,7","7,2","0,37","0,22","0,93",7,"107,5","95,6"
Kyle Kuzma,Was,F,"26,57",53,"33,2","69,1",23,"13,5",172,"0,698",420,"0,545",290,"0,331","0,525","0,551","16,3","8,7","14,3",3,"14,2","0,64","0,87","2,32","9,1",104,"107,9"
