Nom,TEAM,POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage RateUsage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Darius Bazley,Okc,F-G,"21,68",52,"27,3","56,8","18,2","11,5",122,"0,697",286,"0,472",186,"0,296","0,461","0,495",10,"6,6","12,4","1,3","7,4","0,83","1,13","1,31","6,5","97,9","107,5"
Bradley Beal,Was,G,"28,64",40,36,"74,9","30,7","13,6",203,"0,833",561,"0,508",210,"0,3","0,492","0,539","23,2","4,7","7,2","6,6","31,6","0,9","0,38","3,38",10,"105,8",110
Malik Beasley,Min,G,"25,22",57,"25,7","53,5","20,3","5,2",42,"0,762",186,"0,435",468,"0,359","0,509","0,519","12,2",3,"6,3","1,5","8,5","0,53","0,16","0,65","5,9","106,8",113
Jordan Bell,Chi,F,"27,11",1,2,"4,2",0,,0,0,0,0,0,0,,,0,1,"27,8",0,0,1,0,0,0,,
DeAndre' Bembry,Bro,G-F,"27,62",48,"19,8","41,2","11,8","11,6",35,"0,6",177,"0,599",36,"0,417","0,603","0,609","5,8","3,2","8,6","1,3","8,6","0,98","0,52","0,63","5,8","119,6","103,2"
Davis Bertans,Was,F,"29,26",34,"14,7","30,7","17,6","7,1",30,"0,933",27,"0,519",144,"0,319","0,485","0,527","5,7","1,8","6,6","0,5","4,5","0,32","0,18","0,41","4,7","103,6","105,2"
Patrick Beverley,Min,G,"33,6",38,"26,1","54,3","15,6","11,9",72,"0,722",137,"0,482",156,"0,34","0,497","0,528",9,"4,4","8,9","4,9","25,9","1,11","0,92","1,16","8,9","119,4","103,6"
Saddiq Bey,Det,F,"22,86",57,"33,6",70,"21,2","7,7",169,"0,834",381,"0,436",423,"0,34","0,475","0,515","15,9","5,7","9,1","2,8","13,4","0,89","0,23","1,28","7,5","107,1",113
Khem Birch,Tor,C,"29,38",30,"18,6","38,8","11,6","11,2",44,"0,75",107,"0,533",8,0,"0,496","0,547","4,9","4,5","13,2","1,2","8,6","0,8","0,43","0,57","6,4","125,9","105,1"
Goga Bitadze,Ind,C-F,"22,58",34,"11,4","23,7","20,8",15,48,"0,625",92,"0,576",46,"0,174","0,471","0,503","4,7","2,8","13,6","0,7","8,8","0,38","0,71","0,82","7,4",103,"100,4"
