ID,Nom,Âge,Taille,Poids,Nationalité,Poste,Matchs,E,T,P,D,J,R,Temps,Club
6066,TOURNEBIZE Pierre,23,186,99,France,Ailier,5,1,,,,,,266,Brive
6069,LAPÈGUE Adrien,23,181,88,France,Ailier,7,,,,,,,483,Paris
6074,MILLAR Guy,29,186,125,Australie,Pilier,10,,,,,2,,624,Biarritz
6080,VIALLARD Kévin,21,174,78,France,Mêlée,12,,,,,,,116,Clermont
6109,BARKA Rayne,23,180,103,France,Talonneur,1,,,,,,,44,Pau
6141,PAENGA-AMOSA Brandon,26,183,117,Nouvelle-Zélande,Talonneur,4,1,,,,,,186,Montpellier
6149,DELGUY Bautista,24,182,83,Argentine,Ailier,6,,,,,,,404,Perpignan
6174,JALAGONIA Tornike,23,188,105,Géorgie,3ème ligne,14,1,,,,1,,818,Biarritz
6271,LEE Nico,27,180,89,Afrique du sud,Centre,6,,,,,,,419,Brive
6296,DWEBA Joseph,26,180,108,Afrique du sud,Talonneur,3,,,,,,,105,Bordeaux
6346,LEBEL Matthis,22,185,91,France,Ailier,11,2,,,,,,833,Toulouse
6408,MALLIA Juan Cruz,25,182,92,Argentine,Centre,5,4,,,,,,277,Toulouse
6578,BARRETT Eoghan,22,183,86,Irlande,Ailier,4,1,,,,,,228,Pau
6627,TOKOLAHI Siate,29,184,116,Tonga,Pilier,15,,,,,,,502,Pau
6650,RATUVA Tevita,26,198,120,Fidji,2ème ligne,13,1,,,,1,,736,Brive
6651,MADDOCKS Jack,25,194,96,Australie,Arrière,4,1,,,,,,284,Pau
6664,PAIA'AUA Duncan,27,183,92,Nouvelle-Zélande,Centre,6,2,,,,1,,470,Toulon
6688,ARNOLD Richie,31,208,127,Australie,2ème ligne,9,,,,,,,411,Toulouse
6723,STANIFORTH Thomas,27,198,119,Australie,2ème ligne,16,,,,,,,1166,Castres
6725,ROACH Hugh,29,178,108,Australie,Talonneur,3,,,,,,,119,Perpignan
6730,SHORT Mitch,26,178,82,Australie,Mêlée,4,,,,,,,71,Racing 92
6737,KARKADZE Vano,21,179,114,Géorgie,Talonneur,10,1,,,,,,370,Brive
6738,SAGHINADZE Beka,23,192,108,Géorgie,3ème ligne,8,2,,,,,,561,Lyon
6739,NUTSUBIDZE Giorgi,23,178,116,Géorgie,Pilier,11,,,,,1,,399,Biarritz
6740,JAPARIDZE Luka,23,180,125,Géorgie,Pilier,13,,,,,1,,607,Brive
6769,LAM Ben,30,194,114,Nouvelle-Zélande,Ailier,12,4,,,,1,,948,Bordeaux
6783,FAINGA'A Colby,30,183,105,Australie,3ème ligne,11,1,,,,1,,596,Lyon
6872,MANU Tumua,28,183,97,Nouvelle-Zélande,Centre,16,2,,,,1,,1160,Pau
6933,BIBI BIZIWU Daniel,20,183,112,France,Pilier,3,,,,,,,150,Clermont
6946,DIALLO Ibrahim,24,193,109,France,3ème ligne,14,3,,,,,,914,Racing 92
6951,LAVAULT Thomas,22,199,105,France,2ème ligne,15,1,,,,,,627,La Rochelle
6987,JOUANNET Enzo,22,183,109,France,Talonneur,1,,,,,,,1,Brive
6992,VANVERBERGHE Florent,21,195,120,France,2ème ligne,16,2,,,,1,,881,Castres
7000,BERIA Giorgi,22,175,108,France,Pilier,7,,,,,1,,183,Clermont
7001,FAVRE Jules,22,181,90,France,Ailier,14,7,,,,,,1057,La Rochelle
7026,MOEFANA Yoram,21,182,97,France,Centre,12,2,,,,1,,826,Bordeaux
7031,GOGICHASHVILI Guram,23,183,118,Géorgie,Pilier,12,,,,,,,507,Racing 92
7053,AINU'U David,22,178,125,Etats-Unis,Pilier,7,,,,,1,,172,Toulouse
7071,BOUDEHENT Paul,22,193,100,France,3ème ligne,12,,,,,1,,606,La Rochelle
7091,BERJON Thomas,23,177,87,France,Mêlée,9,,,,,,,233,La Rochelle
7138,KPOKU Joel,22,196,126,Angleterre,2ème ligne,1,,,,,,,33,Lyon
7168,KHARAISHVILI Gia,23,180,120,Géorgie,Pilier,5,,,,,,,121,Racing 92
7169,PAGE-RELO Martin,23,173,71,France,Mêlée,3,,,,,,,7,Toulouse
7184,BEN-NICHOLAS Teariki,26,195,110,Nouvelle-Zélande,3ème ligne,8,2,,,,,,473,Castres
7192,VERGNES-TAILLEFER Bastien,24,194,114,France,3ème ligne,12,1,,,,,,571,Bordeaux
7212,ABZHANDADZE Tedo,22,177,80,Géorgie,Ouverture,6,,1,5,,,,272,Brive
7245,ARATA Santiago,25,174,78,Uruguay,Mêlée,10,1,,,,,,398,Castres
7277,MORETTI Simon,21,180,84,France,Ailier,1,,,,,,,80,Toulon
7299,JURAND Joris,26,188,96,France,Ailier,16,3,,,,,,961,Brive
7304,HEWAT Reece,24,194,110,Australie,3ème ligne,8,,,,,,,292,Pau
7310,PINTO Vincent,22,187,93,France,Ailier,6,,,,,,,246,Pau
7315,TIBERGHIEN Cheikh,22,186,96,France,Arrière,10,3,,,,,,553,Clermont
7318,DEVAUX Bruce,25,183,108,France,Pilier,7,,,,,,,278,Toulon
7320,RODOR Matteo,22,170,72,France,Mêlée,10,1,3,1,,,,346,Perpignan
7324,BAGGIANI Enzo,21,185,115,France,Pilier,2,,,,,,,11,Bordeaux
7337,MEAFOU Emmanuel,23,203,145,Australie,2ème ligne,5,1,,,,,,303,Toulouse
7397,GARBISI Paolo,21,183,93,Italie,Ouverture,11,,17,28,1,,,795,Montpellier
7398,MORI Federico,21,188,108,Italie,Centre,8,3,,,,1,,367,Bordeaux
7494,HAMONOU Thibaut,21,195,108,France,3ème ligne,3,,,,,,,138,Pau
7501,PAULOS Lucas,24,199,123,Argentine,2ème ligne,8,,,,,,1,486,Brive
7504,CHOCOBARES Santiago,22,188,91,Argentine,Centre,2,1,,,,,,160,Toulouse
7512,VAN DER MESCHT JJ,22,200,135,Afrique du sud,2ème ligne,15,,,,,2,,500,Paris
7571,GERMAIN Baptiste,21,174,82,France,Mêlée,7,,,,,,,383,Toulouse
7647,WARION Adrien,21,202,115,France,2ème ligne,5,,,,,,,140,Toulon
7657,AURREKOETXEA Kerman,21,178,79,Espagne,Mêlée,2,1,,,,,,160,Biarritz
7670,DUMORTIER Ethan,21,192,93,France,Centre,11,2,,,,1,,725,Lyon
7681,LOTRIAN Sacha,21,180,106,France,Pilier,15,2,,,,1,,650,Perpignan
7683,DANOVARO Tom,20,180,84,France,Ouverture,1,,,,,,,18,Brive
7696,MALLEZ Paul,21,180,118,France,Pilier,5,,,,,,,113,Toulouse
